Ancient Dragon Greatshield	16	-	-	-	77.0	45.0	43.0	46.0	45.0	28.0	28.0	28.0	19.0	54	6.5
Anri's Straight Sword	10	10	-	-	45.0	30.0	25.0	25.0	30.0	15.0	15.0	15.0	15.0	30	3.0
Aquamarine Dagger	5	14	18	-	35.0	20.0	15.0	15.0	20.0	10.0	10.0	10.0	10.0	15	1.5
Arbalest	18	8	-	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	6.0
Archdeacon's Great Staff	8	-	12	12	25.0	25.0	10.0	10.0	15.0	10.0	10.0	10.0	10.0	15	2.5
Arstor's Spear	11	19	-	-	40.0	25.0	20.0	20.0	25.0	10.0	10.0	10.0	10.0	20	6.5
Astora Greatsword	16	18	-	-	50.0	40.0	35.0	35.0	40.0	20.0	20.0	20.0	20.0	40	8.0
Astora Greatsword Blessed	16	18	-	-	47.5	38.0	33.2	33.2	38.0	19.0	19.0	19.0	19.0	38	8.0
Astora Greatsword Blood	16	18	-	-	47.5	38.0	33.2	33.2	38.0	22.0	19.0	19.0	19.0	40	8.0
Astora Greatsword Chaos	16	18	-	-	47.5	38.0	35.0	33.2	38.0	19.0	19.0	19.0	19.0	40	8.0
Astora Greatsword Crystal	16	18	-	-	47.5	40.0	33.2	33.2	38.0	19.0	19.0	19.0	19.0	40	8.0
Astora Greatsword Dark	16	18	-	-	47.5	38.0	33.2	33.2	40.0	19.0	19.0	19.0	19.0	40	8.0
Astora Greatsword Deep	16	18	-	-	47.5	38.0	33.2	33.2	44.0	19.0	19.0	19.0	19.0	40	8.0
Astora Greatsword Fire	16	18	-	-	47.5	38.0	38.5	33.2	38.0	19.0	19.0	19.0	19.0	40	8.0
Astora Greatsword Heavy	16	18	-	-	50.0	40.0	35.0	35.0	40.0	20.0	20.0	20.0	20.0	40	8.0
Astora Greatsword Hollow	16	18	-	-	47.5	38.0	33.2	33.2	38.0	19.0	19.0	19.0	19.0	38	8.0
Astora Greatsword Lightning	16	18	-	-	47.5	38.0	33.2	35.0	38.0	19.0	19.0	19.0	19.0	40	8.0
Astora Greatsword Poison	16	18	-	-	47.5	38.0	33.2	33.2	38.0	19.0	22.0	19.0	19.0	40	8.0
Astora Greatsword Raw	16	18	-	-	47.5	38.0	33.2	33.2	38.0	19.0	19.0	19.0	19.0	40	8.0
Astora Greatsword Refined	16	18	-	-	50.0	40.0	35.0	35.0	40.0	20.0	20.0	20.0	20.0	40	8.0
Astora Greatsword Sharp	16	18	-	-	50.0	40.0	35.0	35.0	40.0	20.0	20.0	20.0	20.0	40	8.0
Astora Greatsword Simple	16	18	-	-	47.5	40.0	33.2	33.2	38.0	19.0	19.0	19.0	19.0	40	8.0
Astora Straight Sword	10	10	-	12	45.0	30.0	25.0	25.0	30.0	15.0	15.0	15.0	15.0	30	3.0
Astora Straight Sword Blessed	10	10	-	12	42.7	28.5	23.7	23.7	28.5	14.2	14.2	14.2	14.2	28	3.0
Astora Straight Sword Blood	10	10	-	12	42.7	28.5	23.7	23.7	28.5	16.5	14.2	14.2	14.2	30	3.0
Astora Straight Sword Chaos	10	10	-	12	42.7	28.5	25.0	23.7	28.5	14.2	14.2	14.2	14.2	30	3.0
Astora Straight Sword Crystal	10	10	-	12	42.7	30.0	23.7	23.7	28.5	14.2	14.2	14.2	14.2	30	3.0
Astora Straight Sword Dark	10	10	-	12	42.7	28.5	23.7	23.7	30.0	14.2	14.2	14.2	14.2	30	3.0
Astora Straight Sword Deep	10	10	-	12	42.7	28.5	23.7	23.7	33.0	14.2	14.2	14.2	14.2	30	3.0
Astora Straight Sword Fire	10	10	-	12	42.7	28.5	27.5	23.7	28.5	14.2	14.2	14.2	14.2	30	3.0
Astora Straight Sword Heavy	10	10	-	12	45.0	30.0	25.0	25.0	30.0	15.0	15.0	15.0	15.0	30	3.0
Astora Straight Sword Hollow	10	10	-	12	42.7	28.5	23.7	23.7	28.5	14.2	14.2	14.2	14.2	28	3.0
Astora Straight Sword Lightning	10	10	-	12	42.7	28.5	23.7	25.0	28.5	14.2	14.2	14.2	14.2	30	3.0
Astora Straight Sword Poison	10	10	-	12	42.7	28.5	23.7	23.7	28.5	14.2	16.5	14.2	14.2	30	3.0
Astora Straight Sword Raw	10	10	-	12	42.7	28.5	23.7	23.7	28.5	14.2	14.2	14.2	14.2	30	3.0
Astora Straight Sword Refined	10	10	-	12	45.0	30.0	25.0	25.0	30.0	15.0	15.0	15.0	15.0	30	3.0
Astora Straight Sword Sharp	10	10	-	12	45.0	30.0	25.0	25.0	30.0	15.0	15.0	15.0	15.0	30	3.0
Astora Straight Sword Simple	10	10	-	12	42.7	30.0	23.7	23.7	28.5	14.2	14.2	14.2	14.2	30	3.0
Avelyn	16	14	-	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	7.5
Bandit's Knife	6	12	-	-	35.0	20.0	15.0	15.0	20.0	10.0	10.0	10.0	10.0	15	1.5
Bandit's Knife Blessed	6	12	-	-	33.2	19.0	14.2	14.2	19.0	9.5	9.5	9.5	9.5	14	1.5
Bandit's Knife Blood	6	12	-	-	33.2	19.0	14.2	14.2	19.0	11.0	9.5	9.5	9.5	15	1.5
Bandit's Knife Chaos	6	12	-	-	33.2	19.0	15.0	14.2	19.0	9.5	9.5	9.5	9.5	15	1.5
Bandit's Knife Crystal	6	12	-	-	33.2	20.0	14.2	14.2	19.0	9.5	9.5	9.5	9.5	15	1.5
Bandit's Knife Dark	6	12	-	-	33.2	19.0	14.2	14.2	20.0	9.5	9.5	9.5	9.5	15	1.5
Bandit's Knife Deep	6	12	-	-	33.2	19.0	14.2	14.2	22.0	9.5	9.5	9.5	9.5	15	1.5
Bandit's Knife Fire	6	12	-	-	33.2	19.0	16.5	14.2	19.0	9.5	9.5	9.5	9.5	15	1.5
Bandit's Knife Heavy	6	12	-	-	35.0	20.0	15.0	15.0	20.0	10.0	10.0	10.0	10.0	15	1.5
Bandit's Knife Hollow	6	12	-	-	33.2	19.0	14.2	14.2	19.0	9.5	9.5	9.5	9.5	14	1.5
Bandit's Knife Lightning	6	12	-	-	33.2	19.0	14.2	15.0	19.0	9.5	9.5	9.5	9.5	15	1.5
Bandit's Knife Poison	6	12	-	-	33.2	19.0	14.2	14.2	19.0	9.5	11.0	9.5	9.5	15	1.5
Bandit's Knife Raw	6	12	-	-	33.2	19.0	14.2	14.2	19.0	9.5	9.5	9.5	9.5	15	1.5
Bandit's Knife Refined	6	12	-	-	35.0	20.0	15.0	15.0	20.0	10.0	10.0	10.0	10.0	15	1.5
Bandit's Knife Sharp	6	12	-	-	35.0	20.0	15.0	15.0	20.0	10.0	10.0	10.0	10.0	15	1.5
Bandit's Knife Simple	6	12	-	-	33.2	20.0	14.2	14.2	19.0	9.5	9.5	9.5	9.5	15	1.5
Barbed Straight Sword	11	11	-	-	45.0	30.0	25.0	25.0	30.0	15.0	15.0	15.0	15.0	35	3.0
Barbed Straight Sword Blessed	11	11	-	-	42.7	28.5	23.7	23.7	28.5	14.2	14.2	14.2	14.2	33	3.0
Barbed Straight Sword Blood	11	11	-	-	42.7	28.5	23.7	23.7	28.5	16.5	14.2	14.2	14.2	35	3.0
Barbed Straight Sword Chaos	11	11	-	-	42.7	28.5	25.0	23.7	28.5	14.2	14.2	14.2	14.2	35	3.0
Barbed Straight Sword Crystal	11	11	-	-	42.7	30.0	23.7	23.7	28.5	14.2	14.2	14.2	14.2	35	3.0
Barbed Straight Sword Dark	11	11	-	-	42.7	28.5	23.7	23.7	30.0	14.2	14.2	14.2	14.2	35	3.0
Barbed Straight Sword Deep	11	11	-	-	42.7	28.5	23.7	23.7	33.0	14.2	14.2	14.2	14.2	35	3.0
Barbed Straight Sword Fire	11	11	-	-	42.7	28.5	27.5	23.7	28.5	14.2	14.2	14.2	14.2	35	3.0
Barbed Straight Sword Heavy	11	11	-	-	45.0	30.0	25.0	25.0	30.0	15.0	15.0	15.0	15.0	35	3.0
Barbed Straight Sword Hollow	11	11	-	-	42.7	28.5	23.7	23.7	28.5	14.2	14.2	14.2	14.2	33	3.0
Barbed Straight Sword Lightning	11	11	-	-	42.7	28.5	23.7	25.0	28.5	14.2	14.2	14.2	14.2	35	3.0
Barbed Straight Sword Poison	11	11	-	-	42.7	28.5	23.7	23.7	28.5	14.2	16.5	14.2	14.2	35	3.0
Barbed Straight Sword Raw	11	11	-	-	42.7	28.5	23.7	23.7	28.5	14.2	14.2	14.2	14.2	35	3.0
Barbed Straight Sword Refined	11	11	-	-	45.0	30.0	25.0	25.0	30.0	15.0	15.0	15.0	15.0	35	3.0
Barbed Straight Sword Sharp	11	11	-	-	45.0	30.0	25.0	25.0	30.0	15.0	15.0	15.0	15.0	35	3.0
Barbed Straight Sword Simple	11	11	-	-	42.7	30.0	23.7	23.7	28.5	14.2	14.2	14.2	14.2	35	3.0
Bare Fists	-	-	-	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
Bastard Sword	16	10	-	-	50.0	35.0	30.0	30.0	35.0	20.0	20.0	20.0	20.0	35	8.0
Bastard Sword Blessed	16	10	-	-	47.5	33.2	28.5	28.5	33.2	19.0	19.0	19.0	19.0	33	8.0
Bastard Sword Blood	16	10	-	-	47.5	33.2	28.5	28.5	33.2	22.0	19.0	19.0	19.0	35	8.0
Bastard Sword Chaos	16	10	-	-	47.5	33.2	30.0	28.5	33.2	19.0	19.0	19.0	19.0	35	8.0
Bastard Sword Crystal	16	10	-	-	47.5	35.0	28.5	28.5	33.2	19.0	19.0	19.0	19.0	35	8.0
Bastard Sword Dark	16	10	-	-	47.5	33.2	28.5	28.5	35.0	19.0	19.0	19.0	19.0	35	8.0
Bastard Sword Deep	16	10	-	-	47.5	33.2	28.5	28.5	38.5	19.0	19.0	19.0	19.0	35	8.0
Bastard Sword Fire	16	10	-	-	47.5	33.2	33.0	28.5	33.2	19.0	19.0	19.0	19.0	35	8.0
Bastard Sword Heavy	16	10	-	-	50.0	35.0	30.0	30.0	35.0	20.0	20.0	20.0	20.0	35	8.0
Bastard Sword Hollow	16	10	-	-	47.5	33.2	28.5	28.5	33.2	19.0	19.0	19.0	19.0	33	8.0
Bastard Sword Lightning	16	10	-	-	47.5	33.2	28.5	30.0	33.2	19.0	19.0	19.0	19.0	35	8.0
Bastard Sword Poison	16	10	-	-	47.5	33.2	28.5	28.5	33.2	19.0	22.0	19.0	19.0	35	8.0
Bastard Sword Raw	16	10	-	-	47.5	33.2	28.5	28.5	33.2	19.0	19.0	19.0	19.0	35	8.0
Bastard Sword Refined	16	10	-	-	50.0	35.0	30.0	30.0	35.0	20.0	20.0	20.0	20.0	35	8.0
Bastard Sword Sharp	16	10	-	-	50.0	35.0	30.0	30.0	35.0	20.0	20.0	20.0	20.0	35	8.0
Bastard Sword Simple	16	10	-	-	47.5	35.0	28.5	28.5	33.2	19.0	19.0	19.0	19.0	35	8.0
Battle Axe	12	8	-	-	45.0	30.0	25.0	25.0	30.0	15.0	15.0	15.0	15.0	30	4.0
Battle Axe Blessed	12	8	-	-	42.7	28.5	23.7	23.7	28.5	14.2	14.2	14.2	14.2	28	4.0
Battle Axe Blood	12	8	-	-	42.7	28.5	23.7	23.7	28.5	16.5	14.2	14.2	14.2	30	4.0
